Variable,Coefficient,CI Lower,CI Upper,Abs_Coefficient
const,1.6163386253071297,1.4730551335093374,1.759622117104922,1.6163386253071297
CareerStage_5.0,0.9206815992719898,0.6508117183091737,1.1905514802348058,0.9206815992719898
Gender_1.0,0.7007245291057294,0.5931563067558203,0.8082927514556384,0.7007245291057294
Gender_2.0,0.5766991296335664,0.476511198464136,0.6768870608029968,0.5766991296335664
CareerStage_6.0,-0.5702337008466783,-0.7122860071652735,-0.42818139452808324,0.5702337008466783
InstitutionType_3,0.5589089321896333,0.01275762656183399,1.1050602378174328,0.5589089321896333
InstitutionType_1,0.5084532970669206,0.35816399146942457,0.6587426026644165,0.5084532970669206
CareerStage_3.0,0.49826580422648215,0.30834149147240186,0.6881901169805624,0.49826580422648215
CareerStage_2.0,0.47390992480467947,0.2932629951038731,0.6545568545054858,0.47390992480467947
InstitutionType_2,0.46636945471818186,0.3142783409461959,0.6184605684901678,0.46636945471818186
Gender_3.0,0.3389149665678359,0.08974684156181678,0.588083091573855,0.3389149665678359
Race_BlackAA,-0.3096571909627111,-0.45509637416528803,-0.1642180077601342,0.3096571909627111
CareerStage_4.0,0.2946392930575733,0.17115611173382175,0.4181224743813249,0.2946392930575733
Race_OtherCombined,0.27068811515796937,0.12407004599553181,0.4173061843204069,0.27068811515796937
InstitutionType_5,-0.17070214101451134,-0.49627140381728263,0.15486712178825998,0.17070214101451134
InstitutionType_6,-0.15221116146660058,-0.4234303502556186,0.11900802732241744,0.15221116146660058
InstitutionType_7,-0.14698190030934266,-0.3186773353581493,0.02471353473946397,0.14698190030934266
CareerStage_7.0,-0.14617731615315774,-0.6347354282889004,0.342380795982585,0.14617731615315774
CareerStage_1.0,0.12695585698971734,-0.0036779774836611656,0.25758969146309585,0.12695585698971734
Race_White,0.06520583783458002,-0.05031261817571438,0.18072429384487443,0.06520583783458002
