Feature,Importance
Race_BlackAA,0.13545468142701556
CareerStage_6.0,0.09313180081178701
InstitutionType_7,0.0678667572812076
Race_White,0.06757181086827198
Race_OtherCombined,0.06166593288654035
Race_Hispanic,0.0551952836062996
InstitutionType_1,0.05308398429944986
CareerStage_5.0,0.05204117813004692
Race_Asian,0.0495892911632427
CareerStage_2.0,0.04624129194330431
CareerStage_3.0,0.04445000579306403
CareerStage_4.0,0.04189719125090339
Gender_2.0,0.041287646459498555
Gender_1.0,0.039714469924514884
InstitutionType_2,0.03960116892754432
CareerStage_1.0,0.03343084914646203
InstitutionType_6,0.018966171075542628
InstitutionType_5,0.01672767953283959
CareerStage_8.0,0.016432631591509712
Gender_3.0,0.01192506332867158
InstitutionType_3,0.010573986341148818
CareerStage_7.0,0.0031511242111346392
InstitutionType_4,0.0
