Feature,Importance
CareerStage_6.0,0.13610598
Race_BlackAA,0.11680314
CareerStage_3.0,0.10221692
CareerStage_4.0,0.09928875
CareerStage_5.0,0.071719304
CareerStage_1.0,0.07005657
CareerStage_2.0,0.055645864
InstitutionType_1,0.03266225
InstitutionType_7,0.0317401
InstitutionType_6,0.03132664
InstitutionType_2,0.030382894
CareerStage_7.0,0.028970832
Race_OtherCombined,0.028298017
InstitutionType_5,0.027947366
InstitutionType_3,0.02616796
Race_White,0.023894597
Gender_1.0,0.01929269
Race_Asian,0.01819589
Race_Hispanic,0.017018925
CareerStage_8.0,0.013988124
Gender_3.0,0.0113236625
Gender_2.0,0.0069534755
InstitutionType_4,0.0
