Feature,Importance
CareerStage_5.0,0.21052766
CareerStage_2.0,0.109716624
CareerStage_3.0,0.10881636
InstitutionType_7,0.056735516
CareerStage_6.0,0.05296932
CareerStage_1.0,0.05166026
Race_BlackAA,0.048955433
InstitutionType_6,0.04186957
Gender_2.0,0.040423326
InstitutionType_1,0.035987392
CareerStage_4.0,0.03566927
Race_OtherCombined,0.032034848
Gender_1.0,0.029675966
Race_White,0.027320754
Race_Asian,0.02486062
InstitutionType_2,0.02401631
InstitutionType_3,0.020683603
Race_Hispanic,0.015930694
CareerStage_8.0,0.015671143
InstitutionType_5,0.009787472
Gender_3.0,0.005353684
CareerStage_7.0,0.0013341419
InstitutionType_4,0.0
